scale_name,p_perm,p_perm.bonf,observed
tot_APSD,0.0169,0.8788,-0.478635016
cu_APSD,0.1304,1,-0.281292719
narc_APSD,0.0085,0.442,-0.561347372
imp_APSD,0.0578,1,-0.276071253
ag.v_SHRP,0.8684,1,0.025344513
bul_SHRP,0.6967,1,-0.046272468
ag.c_SHRP,0.5108,1,-0.107061829
hos_SHRP,0.3927,1,-0.123636293
tot_ARI,0.0641,1,-0.289147076
att_CON,0.1902,1,-0.252968393
hyp.imp_CON,0.6632,1,-0.082462826
learn_CON,0.9687,1,-0.008245199
exec_CON,0.8661,1,-0.029296508
def_CON,0.2444,1,-0.204881608
peer_CON,0.1445,1,0.229859525
tot_CON,0.3922,1,-0.148182273
adhd.att_CON,0.3536,1,-0.215230671
adhd.hyp_CON,0.7671,1,-0.055528484
cond_CON,0.4726,1,-0.123338426
odd_CON,0.3511,1,-0.167360074
cont_DCD,0.9588,1,0.007172721
fine_DCD,0.7719,1,0.035895635
coord_DCD,0.3558,1,-0.089570634
tot_DCD,0.677,1,-0.045077229
tot_SCQ,0.9776,1,0.005250806
soc_SCQ,0.985,1,-0.005104545
com_SCQ,0.6911,1,-0.080423073
rep_SCQ,0.2706,1,0.161039109
emo_SDQ,0.2737,1,0.283889542
cond_SDQ,0.0042,0.2184,-0.395858182
hyp.imp_SDQ,0.1508,1,-0.211726906
peer_SDQ,0.1932,1,0.1698791
soc_SDQ,0.5866,1,-0.091548421
tot_SDQ,0.6357,1,-0.066938498
tot_SRS,0.6562,1,0.059044934
awr_SRS,0.1738,1,-0.186680152
cog_SRS,0.699,1,-0.057881136
com_SRS,0.7059,1,0.052397372
mot_SRS,0.5266,1,0.104812546
man_SRS,0.1029,1,0.226288664
asd_SRS,0.9512,1,0.008229162
ax.dep_CBCL,0.2032,1,0.412424629
wt.dep_CBCL,0.2965,1,0.249010147
som_CBCL,0.4672,1,0.151555465
soc_CBCL,0.0148,0.7696,0.422329371
tht_CBCL,0.4414,1,0.141365208
att_CBCL,0.327,1,-0.196964157
rule_CBCL,0.062,1,-0.398601792
ag_CBCL,0.2538,1,-0.179633937
int_CBCL,0.1501,1,0.334827888
ext_CBCL,0.1127,1,-0.251643619
tot_CBCL,0.7991,1,0.037686132
