scale_name,effect_size,group,nodal_degree
tot_APSD,0.656045237,XXY,0.345959631
cu_APSD,0.47743161,XXY,0.293720419
narc_APSD,0.251126393,XXY,0.167311757
imp_APSD,0.765037061,XXY,0.302502762
ag.v_SHRP,0.971203514,XXY,0.416726856
bul_SHRP,0.826660743,XXY,0.4219745
ag.c_SHRP,0.810333243,XXY,0.452494423
hos_SHRP,0.668550911,XXY,0.437310764
ag.p_SHRP,0.337789866,XXY,0.311771861
tot_ARI,1.337581506,XXY,0.403806371
att_CON,1.916481393,XXY,0.434596972
hyp.imp_CON,0.897740841,XXY,0.469972147
learn_CON,3.502293763,XXY,0.242616091
exec_CON,1.685796404,XXY,0.331228701
def_CON,1.059134897,XXY,0.535313249
peer_CON,2.294574481,XXY,0.50279588
tot_CON,1.874043074,XXY,0.560543175
adhd.att_CON,1.600105074,XXY,0.427691588
adhd.hyp_CON,0.661898161,XXY,0.435791396
cond_CON,0.958758505,XXY,0.504270755
odd_CON,0.997347001,XXY,0.444612172
cont_DCD,1.578017451,XXY,0.367387414
fine_DCD,1.462277698,XXY,0.286265174
coord_DCD,1.99837564,XXY,0.368779938
tot_DCD,1.927701813,XXY,0.405235343
tot_SCQ,1.832827383,XXY,0.373700355
soc_SCQ,2.19543343,XXY,0.325767385
com_SCQ,0.979551522,XXY,0.258882294
rep_SCQ,1.531289941,XXY,0.288720815
emo_SDQ,2.472478719,XXY,0.336236233
cond_SDQ,1.915819055,XXY,0.410982259
hyp.imp_SDQ,1.058867843,XXY,0.421213267
peer_SDQ,0.761675711,XXY,0.360073616
soc_SDQ,0.515075797,XXY,0.341490923
tot_SDQ,1.930532738,XXY,0.571227378
tot_SRS,2.42663727,XXY,0.650938275
awr_SRS,1.22193649,XXY,0.385906472
cog_SRS,2.798920797,XXY,0.551375139
com_SRS,2.364241379,XXY,0.608093766
mot_SRS,1.616481493,XXY,0.391476018
man_SRS,1.810836279,XXY,0.554076588
asd_SRS,2.401937828,XXY,0.630808265
ax.dep_CBCL,3.449517308,XXY,0.446033836
wt.dep_CBCL,1.471690756,XXY,0.431147786
som_CBCL,2.207498333,XXY,0.313322333
soc_CBCL,2.674679134,XXY,0.593445407
tht_CBCL,2.336315172,XXY,0.544917699
att_CBCL,2.372260557,XXY,0.468428853
rule_CBCL,1.749361896,XXY,0.385831382
ag_CBCL,2.052217595,XXY,0.578761581
int_CBCL,3.140126596,XXY,0.50656837
ext_CBCL,2.026812243,XXY,0.586406211
tot_CBCL,3.332554955,XXY,0.699567004
