scale_name,effect_size,group,nodal_degree
tot_APSD,1.373976062,XYY,0.476984803
cu_APSD,1.546146474,XYY,0.280835429
narc_APSD,0.832073375,XYY,0.363915968
imp_APSD,1.012450864,XYY,0.396046578
ag.v_SHRP,2.248631635,XYY,0.536923166
bul_SHRP,2.164408935,XYY,0.499683361
ag.c_SHRP,1.875784995,XYY,0.556866081
hos_SHRP,2.62096823,XYY,0.602717907
ag.p_SHRP,1.076452676,XYY,0.378179712
tot_ARI,2.878132503,XYY,0.493183122
att_CON,2.970623151,XYY,0.550791391
hyp.imp_CON,2.241574338,XYY,0.45937309
learn_CON,3.198161897,XYY,0.26488136
exec_CON,1.792007401,XYY,0.37097607
def_CON,2.816989593,XYY,0.512041542
peer_CON,5.084118753,XYY,0.495530009
tot_CON,2.960714367,XYY,0.616321196
adhd.att_CON,2.395165769,XYY,0.51613869
adhd.hyp_CON,1.731514788,XYY,0.419287748
cond_CON,2.156779334,XYY,0.428809936
odd_CON,2.470622173,XYY,0.564481353
cont_DCD,3.235296243,XYY,0.315951679
fine_DCD,2.371183959,XYY,0.344008099
coord_DCD,2.719241813,XYY,0.466715026
tot_DCD,3.341343389,XYY,0.485410812
tot_SCQ,4.874965482,XYY,0.378464448
soc_SCQ,6.103716332,XYY,0.314192516
com_SCQ,2.155996813,XYY,0.32586275
rep_SCQ,3.276556998,XYY,0.245307562
emo_SDQ,1.79794041,XYY,0.330469177
cond_SDQ,2.261587062,XYY,0.507995421
hyp.imp_SDQ,2.208619011,XYY,0.486059869
peer_SDQ,2.898117325,XYY,0.429284711
soc_SDQ,1.343085426,XYY,0.384597898
tot_SDQ,3.183169503,XYY,0.673564008
tot_SRS,4.355338037,XYY,0.635285183
awr_SRS,2.199131784,XYY,0.487470829
cog_SRS,3.54482157,XYY,0.563868261
com_SRS,4.455735172,XYY,0.61213234
mot_SRS,2.38121857,XYY,0.305061806
man_SRS,5.536909021,XYY,0.509769466
asd_SRS,3.991772007,XYY,0.635622402
ax.dep_CBCL,3.183470677,XYY,0.301499994
wt.dep_CBCL,3.431998123,XYY,0.266171927
som_CBCL,3.544611634,XYY,0.280415722
soc_CBCL,6.730883949,XYY,0.580929469
tht_CBCL,3.915169912,XYY,0.417040295
att_CBCL,3.80981842,XYY,0.548585105
rule_CBCL,1.86471118,XYY,0.484213841
ag_CBCL,3.043116777,XYY,0.593084993
int_CBCL,4.776162739,XYY,0.393476958
ext_CBCL,2.948107092,XYY,0.611393662
tot_CBCL,5.328975902,XYY,0.699050579
