"","scale_name","effect_size","group","nodal_degree"
"1","tot_APSD",1.37397606182593,"XYY",0.476984802876189
"2","cu_APSD",1.54614647403586,"XYY",0.280835428618331
"3","narc_APSD",0.832073375315973,"XYY",0.363915967814316
"4","imp_APSD",1.01245086374625,"XYY",0.396046578415376
"5","ag.v_SHRP",2.24863163507373,"XYY",0.536923165690658
"6","bul_SHRP",2.16440893541496,"XYY",0.49968336120996
"7","ag.c_SHRP",1.87578499482438,"XYY",0.556866080515257
"8","hos_SHRP",2.62096822982511,"XYY",0.602717906771585
"9","ag.p_SHRP",1.07645267610333,"XYY",0.378179712029819
"10","tot_ARI",2.87813250322669,"XYY",0.493183121775214
"11","att_CON",2.97062315067395,"XYY",0.550791390741167
"12","hyp.imp_CON",2.24157433777034,"XYY",0.459373090280439
"13","learn_CON",3.19816189664554,"XYY",0.264881360161637
"14","exec_CON",1.7920074007393,"XYY",0.37097607009971
"15","def_CON",2.81698959268752,"XYY",0.512041541791353
"16","peer_CON",5.08411875276292,"XYY",0.495530009385216
"17","tot_CON",2.96071436695246,"XYY",0.616321195522847
"18","adhd.att_CON",2.3951657686221,"XYY",0.516138689820418
"19","adhd.hyp_CON",1.73151478767713,"XYY",0.419287748211457
"20","cond_CON",2.15677933368752,"XYY",0.42880993594083
"21","odd_CON",2.47062217341633,"XYY",0.564481352501895
"22","cont_DCD",3.2352962426819,"XYY",0.315951679468356
"23","fine_DCD",2.37118395903052,"XYY",0.344008099459285
"24","coord_DCD",2.71924181289958,"XYY",0.46671502551729
"25","tot_DCD",3.34134338948654,"XYY",0.485410811750973
"26","tot_SCQ",4.87496548172568,"XYY",0.378464448255023
"27","soc_SCQ",6.10371633222442,"XYY",0.314192515919947
"28","com_SCQ",2.15599681256488,"XYY",0.32586274983315
"29","rep_SCQ",3.27655699762818,"XYY",0.245307561588037
"30","emo_SDQ",1.79794040990293,"XYY",0.330469176972767
"31","cond_SDQ",2.2615870620157,"XYY",0.507995420688961
"32","hyp.imp_SDQ",2.20861901115112,"XYY",0.486059869246518
"33","peer_SDQ",2.89811732535222,"XYY",0.429284710927321
"34","soc_SDQ",1.34308542600281,"XYY",0.384597898338704
"35","tot_SDQ",3.18316950307008,"XYY",0.67356400849754
"36","tot_SRS",4.35533803677954,"XYY",0.635285183111223
"37","awr_SRS",2.19913178350077,"XYY",0.487470829360767
"38","cog_SRS",3.54482156994885,"XYY",0.563868261185542
"39","com_SRS",4.45573517229928,"XYY",0.612132340323162
"40","mot_SRS",2.38121857018346,"XYY",0.305061806227773
"41","man_SRS",5.53690902122222,"XYY",0.509769465596769
"42","asd_SRS",3.99177200743365,"XYY",0.635622401615624
"43","ax.dep_CBCL",3.18347067699762,"XYY",0.301499993594981
"44","wt.dep_CBCL",3.43199812278731,"XYY",0.266171927240721
"45","som_CBCL",3.54461163387934,"XYY",0.280415721853839
"46","soc_CBCL",6.73088394931648,"XYY",0.580929469160419
"47","tht_CBCL",3.91516991204319,"XYY",0.417040295013257
"48","att_CBCL",3.80981841999265,"XYY",0.548585104571528
"49","rule_CBCL",1.8647111796617,"XYY",0.484213841166735
"50","ag_CBCL",3.04311677686736,"XYY",0.593084993069814
"51","int_CBCL",4.77616273900372,"XYY",0.393476957940853
"52","ext_CBCL",2.94810709171081,"XYY",0.611393662419013
"53","tot_CBCL",5.32897590235809,"XYY",0.699050579022375
