scale_name,p_perm,p_perm.bonf,observed
tot_APSD,0.208,1,0.2328757
cu_APSD,0.4525,1,0.54468326
narc_APSD,0.3075,1,0.248318096
imp_APSD,0.628,1,0.178816673
ag.v_SHRP,0.4737,1,0.161858303
bul_SHRP,0.3164,1,0.291328596
ag.c_SHRP,0.6922,1,0.146709014
hos_SHRP,0.6169,1,0.198189768
ag.p_SHRP,0.0213,1,0.67381928
tot_ARI,0.5114,1,0.171364979
att_CON,0.5019,1,0.201654422
hyp.imp_CON,0.5399,1,0.094639309
learn_CON,0.4777,1,0.451326997
exec_CON,0.699,1,0.211898062
def_CON,0.4177,1,0.116556112
peer_CON,0.2589,1,0.313280316
tot_CON,0.8037,1,0.125893978
adhd.att_CON,0.9905,1,0.10076105
adhd.hyp_CON,0.4978,1,0.099180054
cond_CON,0.0474,1,0.250791584
odd_CON,0.9771,1,0.067286041
cont_DCD,0.3366,1,0.180480385
fine_DCD,0.1335,1,0.353109703
coord_DCD,0.0873,1,0.250712908
tot_DCD,0.0689,1,0.174164168
tot_SCQ,0.7188,1,0.086919698
soc_SCQ,0.8644,1,0.091009693
com_SCQ,0.8726,1,0.113434688
rep_SCQ,0.2055,1,0.288377325
emo_SDQ,0.8967,1,0.186971383
cond_SDQ,0.1327,1,0.152590092
hyp.imp_SDQ,0.2811,1,0.181692573
peer_SDQ,0.3336,1,0.267324545
soc_SDQ,0.0808,1,0.685639853
tot_SDQ,0.2666,1,0.263472657
tot_SRS,0.1332,1,0.085638359
awr_SRS,0.7509,1,0.138603956
cog_SRS,0.8104,1,0.13238988
com_SRS,0.1425,1,0.123310655
mot_SRS,0.0257,1,0.279351973
man_SRS,0.4416,1,0.177959008
asd_SRS,0.1323,1,0.085085553
ax.dep_CBCL,0.5775,1,0.246503195
wt.dep_CBCL,0.2305,1,0.367945092
som_CBCL,0.0972,1,0.493072296
soc_CBCL,0.0087,0.4611,0.536013826
tht_CBCL,0.2861,1,0.511835737
att_CBCL,0.6716,1,0.198923602
rule_CBCL,0.6998,1,0.122946806
ag_CBCL,0.1289,1,0.132810411
int_CBCL,0.279,1,0.275756772
ext_CBCL,0.4633,1,0.085516806
tot_CBCL,0.0623,1,0.355732512
