"","tot_APSD","cu_APSD","narc_APSD","imp_APSD","ag.v_SHRP","bul_SHRP","ag.c_SHRP","hos_SHRP","ag.p_SHRP","tot_ARI","att_CON","hyp.imp_CON","learn_CON","exec_CON","def_CON","peer_CON","tot_CON","adhd.att_CON","adhd.hyp_CON","cond_CON","odd_CON","cont_DCD","fine_DCD","coord_DCD","tot_DCD","tot_SCQ","soc_SCQ","com_SCQ","rep_SCQ","emo_SDQ","cond_SDQ","hyp.imp_SDQ","peer_SDQ","soc_SDQ","tot_SDQ","tot_SRS","awr_SRS","cog_SRS","com_SRS","mot_SRS","man_SRS","asd_SRS","ax.dep_CBCL","wt.dep_CBCL","som_CBCL","soc_CBCL","tht_CBCL","att_CBCL","rule_CBCL","ag_CBCL","int_CBCL","ext_CBCL","tot_CBCL"
"tot_APSD",1,0.672426673399128,0.746599876169898,0.807295775310307,0.284748304648561,0.181633845278191,0.301961794134849,0.195130821904925,0.133751828579319,0.257280691272442,0.464361816002625,0.364364216681717,0.197171906977716,0.43373181321108,0.539351017692992,0.281319606436583,0.408233622782596,0.406611468008119,0.346136173307324,0.348869636984562,0.491024501833536,0.0125548986980593,0.0190984956154764,-0.0158165552863966,0.00534741129183985,0.0916756153422947,0.0843045710331727,0.153391086454486,-0.0336598963130963,0.156200797218209,0.414323921853374,0.365320043865388,0.27913270243992,0.318615627342944,0.41906490142659,0.35648458774228,0.171371078319587,0.331099490115344,0.360743615383091,0.313753519608303,0.292768740074496,0.357700751322744,0.223699918093502,0.269765258054874,0.0788325640612049,0.253243998024022,0.310577507714069,0.467556837813175,0.666012375709902,0.49326872513378,0.226753810678588,0.620851725160459,0.489087390701585
"cu_APSD",0.672426673399128,1,0.214651972714279,0.309856318564536,0.207889709340851,0.160263521323648,0.218806039265246,0.111276659827328,0.15753317293899,0.0796601419738002,0.350295011569327,0.164295671648381,0.0767545279117832,0.37450340634393,0.38418320419484,0.264451257239921,0.246295020805335,0.292182040751964,0.205792975361667,0.272165919470507,0.254992671823033,0.219667392917777,0.166925382751848,0.208474875594665,0.22535306709901,0.251695577383221,0.261432879090689,0.252517045038585,0.116067986351283,0.157456154921183,0.2613713207853,0.224628669848869,0.276534872417821,0.361824489510853,0.320533961931494,0.43731319273013,0.231250102126234,0.342119480952303,0.451055336232846,0.44037540886003,0.345311645386882,0.44225149745726,0.159735032786828,0.439634549571755,0.0582133545008471,0.297687713780169,0.305851833665573,0.390762755338134,0.46650018749597,0.347310615904303,0.242395937242411,0.436157549921458,0.420827160400835
"narc_APSD",0.746599876169898,0.214651972714279,1,0.526416879496366,0.166007927181367,0.0946281981592168,0.116772566038335,0.147485850857154,0.0435124850979305,0.188953572718161,0.309092016853862,0.293860680760968,0.193004517513327,0.160274383156613,0.407123662715653,0.182198007063911,0.280826575877994,0.212618743993789,0.23906215195837,0.209626486494716,0.432310076160193,-0.109319554457483,-0.0954625477073165,-0.202426882058625,-0.153217944633665,0.0240980491704686,0.0375841050513893,0.082551544841481,-0.0980802562019572,0.0700525661543653,0.211236269306022,0.136711006539019,0.134804226614731,0.200782182488465,0.187959527070763,0.125399565141451,-0.00206276868917492,0.162512211278377,0.159081913421567,0.0644032045345244,0.0755871771561031,0.132650785062704,0.0981482295332659,-0.0294768893272617,-0.0117825706389842,0.0743471712440155,0.149287868370926,0.257127958003312,0.378511743007282,0.341871403426966,0.0339003207052059,0.396770207717265,0.236515407607201
"imp_APSD",0.807295775310307,0.309856318564536,0.526416879496366,1,0.303759057836132,0.181266350836626,0.299682354712901,0.213932686971996,0.152602064209471,0.316576298947113,0.46594379982197,0.422314103738759,0.243859140470827,0.460996585192974,0.457853533816463,0.218398965233091,0.44591241154645,0.459786143648256,0.393146387903178,0.301658757660261,0.46136982358807,-0.00960548156904327,0.0136012905878979,0.0231174290142932,0.00874288018177272,0.00495670591259905,-0.0157359560402635,0.047561079099175,-0.0507628420671672,0.130679299889217,0.427499483768973,0.477555321485,0.200316412751665,0.143147088381963,0.428695694672457,0.248614211043874,0.147359877167913,0.280753880292038,0.220504319517714,0.154698992917027,0.256756842285204,0.236368428017746,0.257594600291599,0.212497347626393,0.105474950714452,0.224426054684242,0.278732470542337,0.470053475246203,0.55992306315127,0.446340113831403,0.23509021426293,0.5445444207816,0.458509013249788
"ag.v_SHRP",0.284748304648561,0.207889709340851,0.166007927181367,0.303759057836132,1,0.624028156081936,0.63511028506439,0.74939133656632,0.583987951536567,0.529019959961689,0.252917206081755,0.33829260384628,0.0689069971844499,0.227020606693534,0.759511858109935,0.447687146892771,0.523338596404985,0.306825070449046,0.291722981841673,0.656775220174227,0.66424979362853,0.184311687137439,0.193744473441371,0.200319452441901,0.214936205040663,0.198826607536125,0.164971845887809,0.106840311352891,0.214832440669074,0.269289875350407,0.592648636465947,0.335369024529858,0.172101689376964,0.404703153840523,0.468010074327533,0.294599132334724,0.172583006645874,0.315992403196379,0.324190333746088,0.0643709277279243,0.326704703741831,0.274431461354502,0.380950951759318,0.415227884657924,0.314693829617069,0.569780449338177,0.417432516798463,0.327983038834044,0.557009262753727,0.641558607788379,0.443717409981077,0.6774836818423,0.645510995447758
"bul_SHRP",0.181633845278191,0.160263521323648,0.0946281981592168,0.181266350836626,0.624028156081936,1,0.726538327051874,0.594493335536546,0.673386034988212,0.379536347565126,0.182938142907235,0.336669902416929,0.137630773844525,0.173667420474939,0.723705251907032,0.541848890455612,0.47808750729984,0.232166861057315,0.312987412791335,0.708934473711017,0.556697235883239,0.282692095547929,0.235579528380109,0.227183154466878,0.280458065424253,0.264128347365714,0.23196576215409,0.146178760741549,0.286713083968403,0.301674591828762,0.480675245996572,0.212298436262068,0.315066111605095,0.379342987353775,0.450184851567331,0.395316753695217,0.299711394823319,0.427909871098625,0.402806694295788,0.150426192323615,0.387403743853617,0.380725025785035,0.438755395702294,0.392014185185701,0.284773967570893,0.603441903024333,0.457333891868749,0.300376814148868,0.456745780302187,0.659446571456052,0.453670642107789,0.65231912903633,0.624821153427434
"ag.c_SHRP",0.301961794134849,0.218806039265246,0.116772566038335,0.299682354712901,0.63511028506439,0.726538327051874,1,0.687377666753509,0.444513722954291,0.499836583050072,0.307410600057958,0.405166468735035,0.0828955268711779,0.240771099561163,0.691491520138554,0.480547734945136,0.586499549507436,0.331091695093171,0.376759160708994,0.723303985169088,0.645417924330907,0.313798569353423,0.292926491721346,0.277119656762043,0.330414497010063,0.161227914722398,0.110651564171112,0.117419635702144,0.164904969946482,0.289960212711714,0.692842678872532,0.412675021371885,0.314586816937032,0.457065340846935,0.585629757471509,0.343037639023531,0.257207571730718,0.411057177040072,0.362734921549466,0.0998063432871232,0.300476355245329,0.339104817095325,0.48067240226303,0.301298469631548,0.322520483822933,0.547718196447421,0.441766193100299,0.400672629067963,0.598014171379793,0.674856148239379,0.459909459405454,0.717247562974454,0.661979506521835
"hos_SHRP",0.195130821904925,0.111276659827328,0.147485850857154,0.213932686971996,0.74939133656632,0.594493335536546,0.687377666753509,1,0.467980966690298,0.731707871633369,0.25219590007261,0.3393974408576,0.222818044607571,0.19782399779684,0.745288782484132,0.473528455118647,0.530460107781274,0.32617052432587,0.319850938660535,0.688514587452401,0.697902727328538,0.161323640194887,0.211394941159723,0.230418154989157,0.221812073262339,0.183095380855409,0.127573997221378,0.111930996495311,0.209201825017142,0.392293512874911,0.616699469835588,0.327256880761933,0.248843261415807,0.371694266038123,0.546949871941219,0.358552549964644,0.189885607967633,0.383954552906477,0.396412833851343,0.1553743163539,0.326039428691976,0.351513807222614,0.477520683982503,0.392701598716334,0.388478296564766,0.572558313737642,0.416039117157566,0.281074060559746,0.328404909990693,0.752684931724989,0.512896230968207,0.671152918506314,0.636440818603629
"ag.p_SHRP",0.133751828579319,0.15753317293899,0.0435124850979305,0.152602064209471,0.583987951536567,0.673386034988212,0.444513722954291,0.467980966690298,1,0.272359991595068,0.0779280586456416,0.233112940742489,0.105078552669035,-0.00219222734693405,0.488919811491247,0.405399249555305,0.302060975323638,0.0299698188131286,0.231434031764885,0.52552091672871,0.370692846889572,0.286805070853128,0.211045081882039,0.283799504524103,0.29607167007134,0.307709878978365,0.264237958441777,0.15956002612805,0.349787413580547,0.335828094088367,0.240855080434548,0.115635897003201,0.232428435061715,0.23509936038753,0.328246639135157,0.300347921955552,0.134883487897925,0.28341782016973,0.297001853325371,0.153792144921353,0.370248424200812,0.270697101739936,0.50608506850242,0.30472235000296,0.285972567802274,0.608949392443461,0.308955316810662,0.104609248320762,0.172981280877673,0.463181393242837,0.459712683080491,0.401933882139099,0.482230422714721
"tot_ARI",0.257280691272442,0.0796601419738002,0.188953572718161,0.316576298947113,0.529019959961689,0.379536347565126,0.499836583050072,0.731707871633369,0.272359991595068,1,0.334286825863487,0.407204010630742,0.22462334825311,0.238823974996596,0.648681645971047,0.510317007153015,0.586412276186544,0.340714818436076,0.363149347529163,0.52898308308942,0.707759716431362,0.138160554617651,0.139150892024916,0.196494252616871,0.17675024535439,0.10568391924096,0.0643503878745391,0.0617416242325122,0.115579246812314,0.368782962467744,0.570994681455206,0.36892110612411,0.293275030317156,0.375145809113747,0.551729469327166,0.302433994512328,0.185463330653127,0.322254202889397,0.333252165772806,0.119997213175407,0.28121401115218,0.295377173944199,0.413541504916498,0.347836427160551,0.415901367985172,0.536010663562896,0.437952217386176,0.383076077533048,0.412543480705122,0.744891053825376,0.477931880935016,0.695415396418536,0.654397400047564
