"","tot_APSD","cu_APSD","narc_APSD","imp_APSD","ag.v_SHRP","bul_SHRP","ag.c_SHRP","hos_SHRP","ag.p_SHRP","tot_ARI","att_CON","hyp.imp_CON","learn_CON","exec_CON","def_CON","peer_CON","tot_CON","adhd.att_CON","adhd.hyp_CON","cond_CON","odd_CON","cont_DCD","fine_DCD","coord_DCD","tot_DCD","tot_SCQ","soc_SCQ","com_SCQ","rep_SCQ","emo_SDQ","cond_SDQ","hyp.imp_SDQ","peer_SDQ","soc_SDQ","tot_SDQ","tot_SRS","awr_SRS","cog_SRS","com_SRS","mot_SRS","man_SRS","asd_SRS","ax.dep_CBCL","wt.dep_CBCL","som_CBCL","soc_CBCL","tht_CBCL","att_CBCL","rule_CBCL","ag_CBCL","int_CBCL","ext_CBCL","tot_CBCL"
"tot_APSD",1,0.626762395025387,0.883767625892834,0.7605531818998,0.552389716724152,0.435247152068683,0.550751025484498,0.570738538347663,0.612386844272979,0.510587524835724,0.520576069983084,0.436867058349007,0.144727263696088,0.304344199452621,0.674286689391339,0.402211668475177,0.60242799643537,0.485528297459422,0.410647773974484,0.677350447529915,0.596060747490864,0.000462318001746529,0.088984919845863,0.276455920872034,0.128527527913667,0.10334802103046,0.125838457056636,0.0682599808433261,0.0171794605195279,0.272456002664325,0.761430369688682,0.499288820450244,0.370073733315486,0.471048012211249,0.685121850115064,0.223018013450464,0.22078897209585,0.279580438741507,0.279708761475541,0.0406042170577329,0.11773303190169,0.247015313291826,0.255140209397982,0.221275397401983,0.362859423501022,0.525536851530726,0.31820542464504,0.465982029764504,0.705620989618161,0.718408977795477,0.370272409967494,0.752752977566287,0.697383744468106
"cu_APSD",0.626762395025387,1,0.36480239898438,0.206822772056635,0.311747346333303,0.304931365849859,0.235999350241224,0.32285426818227,0.438825892002092,0.264586100895735,0.218033145960345,0.198866219253285,0.283663437641473,0.0568100486857521,0.383523520268158,0.384389797992407,0.348552013764984,0.2324193086785,0.194861187941579,0.389172821191704,0.276025926322337,0.151635771128837,0.0913227864470569,0.277316913073374,0.207579002591589,0.246503967522925,0.276975714347491,0.225655788129993,0.0635159431230419,0.0323047869190467,0.427675962287159,0.197659464911914,0.360976086953964,0.633517960574084,0.363465751711032,0.268237917786513,0.349863902501384,0.284555346073551,0.284340691582863,0.142058056591376,0.150224723479449,0.294562996509183,0.0100531710880787,0.24913525958081,-0.0155170525489075,0.213981855151574,0.167512982759266,0.254461501616591,0.364391590698635,0.434311494598934,0.0951369548134055,0.434773557559232,0.340972564093751
"narc_APSD",0.883767625892834,0.36480239898438,1,0.567928920100043,0.459410181128576,0.369299008165836,0.452424510783825,0.497637643131232,0.60485985729557,0.497479093624044,0.382814207396164,0.254767791072477,-0.0104435968796884,0.195460601189149,0.607100384928219,0.25963262624553,0.452826291933868,0.355843937450316,0.24930973088809,0.58694653243244,0.557852442334393,-0.0124080643207537,0.0603344796079544,0.189656162612807,0.0813793819147613,0.0506303709788998,0.059053757786028,-0.0297615097771368,0.0610785257749529,0.223136876523016,0.703166368360495,0.324064236701747,0.26757532936908,0.37065233362747,0.542823671448698,0.114084996457727,0.0675355613120444,0.159687365184342,0.172841929894498,0.00631380726690038,0.0335265506753542,0.134222339970762,0.193057747642267,0.166486212698187,0.378831431174192,0.417048737421554,0.240064440445842,0.322487154048162,0.659509910464226,0.650468899221398,0.322785282722957,0.688295890953085,0.606348802575864
"imp_APSD",0.7605531818998,0.206822772056635,0.567928920100043,1,0.527263111264268,0.349544196381154,0.568871013739399,0.539043592019964,0.428673317524192,0.368961561801564,0.581428705139237,0.578573437116363,0.150339399200108,0.424780693555772,0.489568943795574,0.310899598350315,0.582559427082959,0.509099492010415,0.517464610691397,0.516848946767789,0.445260415676255,-0.103572365041746,0.0778485078462021,0.222789868644422,0.0519306657223259,0.00486253143556322,0.0148095139348873,0.0457251063137683,-0.0668820545207265,0.323169534265626,0.539195917717548,0.67156268131695,0.227982472312505,0.108339463626861,0.644733784528529,0.222517878434695,0.188003015654516,0.292976555365569,0.272536088368197,-0.0023573722665731,0.167352988560557,0.231773510881382,0.364481996000286,0.0965403897202411,0.45055973090282,0.584078963869352,0.33915889480855,0.522204341269878,0.514552288760419,0.537089659724472,0.416223084495942,0.558529482876284,0.629100216788141
"ag.v_SHRP",0.552389716724152,0.311747346333303,0.459410181128576,0.527263111264268,1,0.776794800893778,0.812762166198526,0.804659248877025,0.558643438306625,0.767762299445876,0.458564968862875,0.660628349486671,0.10283580157326,0.221413829274521,0.815329525393911,0.30041652224542,0.740734196694374,0.378873841156921,0.627647323025558,0.72098699810129,0.786478760050545,0.143778342320994,0.183447778954466,0.264626672943869,0.231772494967345,0.230880183086533,0.201487332394337,0.172806693069997,0.127511257698327,0.334270654038584,0.75602339413049,0.485725085224459,0.21925583450928,0.27760554726698,0.647193041680667,0.39179283373656,0.41057296091441,0.445267850394014,0.42446704598742,0.134957137912387,0.301805643377974,0.40667145962911,0.337006951365564,-0.0713865581228772,0.295396499019939,0.504559151309549,0.376573018717935,0.428228156633425,0.650917536085499,0.86485359226363,0.268063316345372,0.840232429062746,0.70115389946921
"bul_SHRP",0.435247152068683,0.304931365849859,0.369299008165836,0.349544196381154,0.776794800893778,1,0.708553985909628,0.744070473778464,0.719658502591786,0.587308802787783,0.416110591814812,0.561295377188578,0.105608594140574,0.0450789369605759,0.732469389487972,0.301082026097493,0.655905417913776,0.27307040860429,0.537356192018275,0.645888691952555,0.640812176336047,0.272625999274447,0.270171327199443,0.40396583294529,0.379330036978337,0.365445223655198,0.30914763030044,0.244707677603289,0.322291121266773,0.243415324872582,0.72433753985767,0.517181554429285,0.147649787760233,0.373401472237867,0.593706709690806,0.50545036263359,0.556913450457103,0.553720191780663,0.473845690704201,0.242504762313839,0.456223148287839,0.505502732782581,0.18425000275416,-0.0404149296567032,0.185833235421945,0.361722285762203,0.283644252413918,0.395622100998025,0.610010504285307,0.789799847831402,0.155841165049032,0.77247395334663,0.592033333706227
"ag.c_SHRP",0.550751025484498,0.235999350241224,0.452424510783825,0.568871013739399,0.812762166198526,0.708553985909628,1,0.831682836276667,0.551575551816077,0.69247887869812,0.418504787911831,0.587460978700528,0.0855722705106984,0.378125962121375,0.789592393346382,0.412696295564058,0.653685853125426,0.495229301247325,0.547006150484304,0.774296046190568,0.840918364401293,0.18753617737755,0.198830096889449,0.334283791146593,0.285205252765898,0.276686692039929,0.260666159493423,0.21900059129864,0.175051533156229,0.284250344429143,0.797916844835204,0.523499585755902,0.272393519257773,0.264570573863402,0.67874751184303,0.46511783824863,0.459870745461877,0.475947035037674,0.507950836585201,0.178241922123267,0.398880304012144,0.471160405304949,0.271108313144206,0.0570178744225166,0.0877192750345433,0.567852787131711,0.403813134057889,0.45879054450104,0.793801876042708,0.794231597957723,0.199469766616544,0.836525650304862,0.708497422678874
"hos_SHRP",0.570738538347663,0.32285426818227,0.497637643131232,0.539043592019964,0.804659248877025,0.744070473778464,0.831682836276667,1,0.591617259796573,0.797766583827718,0.436940215597179,0.501279372740131,0.138613826867616,0.333569137747817,0.743606204863956,0.529916535570915,0.672435868570243,0.455094879273939,0.444158595405353,0.607125811158038,0.820050573007817,0.278421017127152,0.20317579976143,0.459382222798083,0.380197782849631,0.387008926935277,0.339596826872173,0.269624525772265,0.309412161810347,0.446579062296782,0.671744370990415,0.476725327452275,0.334359299018963,0.404378270881496,0.690068334666523,0.605407328350488,0.608584276687794,0.576897838733915,0.60915311404717,0.385269812686858,0.509832384605814,0.615951742763726,0.323810544785575,0.138144031214739,0.234620148525189,0.615334326231582,0.560293443809273,0.512543333263404,0.637970333463915,0.794953913466686,0.317788693859412,0.785454034507529,0.74756734867142
"ag.p_SHRP",0.612386844272979,0.438825892002092,0.60485985729557,0.428673317524192,0.558643438306625,0.719658502591786,0.551575551816077,0.591617259796573,1,0.561507067713794,0.330896451191328,0.315575766273889,0.113323752139786,0.027104281138743,0.693801419104213,0.175539724572118,0.45024324832102,0.245200489868471,0.286962516097409,0.648859343185365,0.538052920769545,0.279632349687456,0.175149446467367,0.373370138386151,0.34114889941861,0.302459072925948,0.269342503376852,0.239983099043454,0.188748304141729,0.0519385516087178,0.636713262884029,0.327362803300068,0.0625493353442767,0.326647781846872,0.395185137025708,0.241302988403023,0.321563640020667,0.341298956006406,0.244604481078501,0.0489795990987956,0.143959759757969,0.26246793924694,0.0936604399178899,0.0557122028126159,0.134417102429505,0.186620021552612,0.167590109129658,0.301573405500162,0.571583072589982,0.642815330114941,0.1248847952883,0.653577501592786,0.444544290573832
"tot_ARI",0.510587524835724,0.264586100895735,0.497479093624044,0.368961561801564,0.767762299445876,0.587308802787783,0.69247887869812,0.797766583827718,0.561507067713794,1,0.400833253846488,0.497311621217111,0.0176233115998601,0.33442888118278,0.735301310980275,0.411979427033855,0.711119894840579,0.403125347602067,0.472236355854989,0.59966571432869,0.848602865898129,0.284353494200649,0.305048970717821,0.359457245826391,0.38248104167204,0.203102026616902,0.152422077986103,0.140951009536186,0.152103883927057,0.377005969234084,0.71502838458449,0.348894880971939,0.433987073056301,0.268833179569036,0.675427807099954,0.341559980519842,0.33357157559428,0.325856215705803,0.39305646630878,0.105792638553451,0.290620539045223,0.345880713515208,0.254558496473809,-0.0565200237001216,0.302360811796083,0.475131087442168,0.448393710841068,0.41435104637221,0.543438522031167,0.789757368455282,0.236344902439484,0.749540827776555,0.658346657784154
