scale_name,correlation,divergence
tot_APSD,0.7671243,0.2328757
cu_APSD,0.45531674,0.54468326
narc_APSD,0.751681904,0.248318096
imp_APSD,0.821183327,0.178816673
ag.v_SHRP,0.838141697,0.161858303
bul_SHRP,0.708671404,0.291328596
ag.c_SHRP,0.853290986,0.146709014
hos_SHRP,0.801810232,0.198189768
ag.p_SHRP,0.32618072,0.67381928
tot_ARI,0.828635021,0.171364979
att_CON,0.798345578,0.201654422
hyp.imp_CON,0.905360691,0.094639309
learn_CON,0.548673003,0.451326997
exec_CON,0.788101938,0.211898062
def_CON,0.883443888,0.116556112
peer_CON,0.686719684,0.313280316
tot_CON,0.874106022,0.125893978
adhd.att_CON,0.89923895,0.10076105
adhd.hyp_CON,0.900819946,0.099180054
cond_CON,0.749208416,0.250791584
odd_CON,0.932713959,0.067286041
cont_DCD,0.819519615,0.180480385
fine_DCD,0.646890297,0.353109703
coord_DCD,0.749287092,0.250712908
tot_DCD,0.825835832,0.174164168
tot_SCQ,0.913080302,0.086919698
soc_SCQ,0.908990307,0.091009693
com_SCQ,0.886565312,0.113434688
rep_SCQ,0.711622675,0.288377325
emo_SDQ,0.813028617,0.186971383
cond_SDQ,0.847409908,0.152590092
hyp.imp_SDQ,0.818307427,0.181692573
peer_SDQ,0.732675455,0.267324545
soc_SDQ,0.314360147,0.685639853
tot_SDQ,0.736527343,0.263472657
tot_SRS,0.914361641,0.085638359
awr_SRS,0.861396044,0.138603956
cog_SRS,0.86761012,0.13238988
com_SRS,0.876689345,0.123310655
mot_SRS,0.720648027,0.279351973
man_SRS,0.822040992,0.177959008
asd_SRS,0.914914447,0.085085553
ax.dep_CBCL,0.753496805,0.246503195
wt.dep_CBCL,0.632054908,0.367945092
som_CBCL,0.506927704,0.493072296
soc_CBCL,0.463986174,0.536013826
tht_CBCL,0.488164263,0.511835737
att_CBCL,0.801076398,0.198923602
rule_CBCL,0.877053194,0.122946806
ag_CBCL,0.867189589,0.132810411
int_CBCL,0.724243228,0.275756772
ext_CBCL,0.914483194,0.085516806
tot_CBCL,0.644267488,0.355732512
