scale_name,p_perm,p_perm.bonf,observed
tot_APSD,0.208,1,0.7671243
cu_APSD,0.4525,1,0.45531674
narc_APSD,0.3075,1,0.751681904
imp_APSD,0.628,1,0.821183327
ag.v_SHRP,0.4737,1,0.838141697
bul_SHRP,0.3164,1,0.708671404
ag.c_SHRP,0.6922,1,0.853290986
hos_SHRP,0.6169,1,0.801810232
ag.p_SHRP,0.0213,1,0.32618072
tot_ARI,0.5114,1,0.828635021
att_CON,0.5019,1,0.798345578
hyp.imp_CON,0.5399,1,0.905360691
learn_CON,0.4777,1,0.548673003
exec_CON,0.699,1,0.788101938
def_CON,0.4177,1,0.883443888
peer_CON,0.2589,1,0.686719684
tot_CON,0.8037,1,0.874106022
adhd.att_CON,0.9905,1,0.89923895
adhd.hyp_CON,0.4978,1,0.900819946
cond_CON,0.0474,1,0.749208416
odd_CON,0.9771,1,0.932713959
cont_DCD,0.3366,1,0.819519615
fine_DCD,0.1335,1,0.646890297
coord_DCD,0.0873,1,0.749287092
tot_DCD,0.0689,1,0.825835832
tot_SCQ,0.7188,1,0.913080302
soc_SCQ,0.8644,1,0.908990307
com_SCQ,0.8726,1,0.886565312
rep_SCQ,0.2055,1,0.711622675
emo_SDQ,0.8967,1,0.813028617
cond_SDQ,0.1327,1,0.847409908
hyp.imp_SDQ,0.2811,1,0.818307427
peer_SDQ,0.3336,1,0.732675455
soc_SDQ,0.0808,1,0.314360147
tot_SDQ,0.2666,1,0.736527343
tot_SRS,0.1332,1,0.914361641
awr_SRS,0.7509,1,0.861396044
cog_SRS,0.8104,1,0.86761012
com_SRS,0.1425,1,0.876689345
mot_SRS,0.0257,1,0.720648027
man_SRS,0.4416,1,0.822040992
asd_SRS,0.1323,1,0.914914447
ax.dep_CBCL,0.5775,1,0.753496805
wt.dep_CBCL,0.2305,1,0.632054908
som_CBCL,0.0972,1,0.506927704
soc_CBCL,0.0087,0.4611,0.463986174
tht_CBCL,0.2861,1,0.488164263
att_CBCL,0.6716,1,0.801076398
rule_CBCL,0.6998,1,0.877053194
ag_CBCL,0.1289,1,0.867189589
int_CBCL,0.279,1,0.724243228
ext_CBCL,0.4633,1,0.914483194
tot_CBCL,0.0623,1,0.644267488
