scale_name,p_perm,p_perm.bonf,observed
tot_APSD,0.0959,1,-0.272292854
cu_APSD,0.615,1,0.083705859
narc_APSD,0.0621,1,-0.342701566
imp_APSD,0.0291,1,-0.359652909
ag.v_SHRP,0.7116,1,0.065221298
bul_SHRP,0.1248,1,0.241719617
ag.c_SHRP,0.8961,1,-0.020134591
hos_SHRP,0.7465,1,-0.042776012
ag.p_SHRP,0.0148,0.7696,0.422329371
tot_ARI,0.7049,1,0.060879576
att_CON,0.0023,0.1196,-0.347490102
hyp.imp_CON,0.7623,1,0.039369884
learn_CON,0.1571,1,-0.251959931
exec_CON,0.0923,1,-0.282538329
def_CON,0.1936,1,0.17468299
peer_CON,0.743,1,0.035556955
tot_CON,0.6621,1,-0.04581547
adhd.att_CON,0.0114,0.5928,-0.2927592
adhd.hyp_CON,0.5288,1,0.089441828
cond_CON,0.0229,1,0.31401972
odd_CON,0.5722,1,-0.075207126
cont_DCD,0.243,1,0.141342426
fine_DCD,0.9316,1,0.012865031
coord_DCD,0.7197,1,-0.050363081
tot_DCD,0.8486,1,-0.016200704
tot_SCQ,0.1818,1,0.205975737
soc_SCQ,0.4227,1,0.132524114
com_SCQ,0.7468,1,0.055113336
rep_SCQ,0.0491,1,0.352771329
emo_SDQ,0.8363,1,0.035121881
cond_SDQ,0.6854,1,-0.073544453
hyp.imp_SDQ,0.0113,0.5876,-0.253883516
peer_SDQ,0.3752,1,-0.088509374
soc_SDQ,0.3688,1,0.150489319
tot_SDQ,0.087,1,-0.1464082
tot_SRS,0.6404,1,0.039536097
awr_SRS,0.8899,1,-0.018115197
cog_SRS,0.6529,1,-0.048842295
com_SRS,0.6954,1,-0.028592645
mot_SRS,0.4221,1,0.134444362
man_SRS,0.0989,1,0.158077373
asd_SRS,0.9842,1,-0.001964806
ax.dep_CBCL,0.0425,1,0.301808009
wt.dep_CBCL,0.4307,1,0.13630412
som_CBCL,0.8834,1,-0.025809396
tht_CBCL,0.2607,1,0.143114049
att_CBCL,0.0602,1,-0.19561055
rule_CBCL,0.6196,1,-0.088102637
ag_CBCL,0.3975,1,0.104346282
int_CBCL,0.3623,1,0.136788857
ext_CBCL,0.6238,1,0.064758995
tot_CBCL,0.9868,1,-0.000892796
